Optimising function: ackley (dim=100, swarm size=30)
Step 7300,    w=0.31,    min_err=,    1.00198e+01
Step 7350,    w=0.31,    min_err=,    1.00198e+01
Step 7400,    w=0.31,    min_err=,    1.00198e+01
Step 7450,    w=0.30,    min_err=,    1.00198e+01
Step 7500,    w=0.30,    min_err=,    1.00198e+01
Step 7550,    w=0.30,    min_err=,    1.00198e+01
Step 7600,    w=0.30,    min_err=,    1.00198e+01
Step 7650,    w=0.30,    min_err=,    1.00198e+01
Step 7700,    w=0.30,    min_err=,    1.00198e+01
Step 7750,    w=0.30,    min_err=,    1.00198e+01
Step 7800,    w=0.30,    min_err=,    1.00198e+01
Step 7850,    w=0.30,    min_err=,    1.00198e+01
Step 7900,    w=0.30,    min_err=,    1.00198e+01
Step 7950,    w=0.30,    min_err=,    1.00198e+01
Step 8000,    w=0.30,    min_err=,    1.00198e+01
Step 8050,    w=0.30,    min_err=,    1.00198e+01
Step 8100,    w=0.30,    min_err=,    1.00198e+01
Step 8150,    w=0.30,    min_err=,    1.00198e+01
Step 8200,    w=0.30,    min_err=,    1.00198e+01
Step 8250,    w=0.30,    min_err=,    1.00198e+01
Step 8300,    w=0.30,    min_err=,    1.00198e+01
Step 8350,    w=0.30,    min_err=,    1.00198e+01
Step 8400,    w=0.30,    min_err=,    1.00198e+01
Step 8450,    w=0.30,    min_err=,    1.00198e+01
Step 8500,    w=0.30,    min_err=,    1.00198e+01
Step 8550,    w=0.30,    min_err=,    1.00198e+01
Step 8600,    w=0.30,    min_err=,    1.00198e+01
Step 8650,    w=0.30,    min_err=,    1.00198e+01
Step 8700,    w=0.30,    min_err=,    1.00198e+01
Step 8750,    w=0.30,    min_err=,    1.00198e+01
Step 8800,    w=0.30,    min_err=,    1.00198e+01
Step 8850,    w=0.30,    min_err=,    1.00198e+01
Step 8900,    w=0.30,    min_err=,    1.00198e+01
Step 8950,    w=0.30,    min_err=,    1.00198e+01
Step 9000,    w=0.30,    min_err=,    1.00198e+01
Step 9050,    w=0.30,    min_err=,    1.00198e+01
Step 9100,    w=0.30,    min_err=,    1.00198e+01
Step 9150,    w=0.30,    min_err=,    1.00198e+01
Step 9200,    w=0.30,    min_err=,    1.00198e+01
Step 9250,    w=0.30,    min_err=,    1.00198e+01
Step 9300,    w=0.30,    min_err=,    1.00198e+01
Step 9350,    w=0.30,    min_err=,    1.00198e+01
Step 9400,    w=0.30,    min_err=,    1.00198e+01
Step 9450,    w=0.30,    min_err=,    1.00198e+01
Step 9500,    w=0.30,    min_err=,    1.00198e+01
Step 9550,    w=0.30,    min_err=,    1.00198e+01
Step 9600,    w=0.30,    min_err=,    1.00198e+01
Step 9650,    w=0.30,    min_err=,    1.00198e+01
Step 9700,    w=0.30,    min_err=,    1.00198e+01
Step 9750,    w=0.30,    min_err=,    1.00198e+01
Step 9800,    w=0.30,    min_err=,    1.00198e+01
Step 9850,    w=0.30,    min_err=,    1.00198e+01
